test_loss,test_correlation,test_mse,test_spearman,test_pearson,test_spearman_weighted_patent,tag
1.3852812635960463,0.338066124598666,1519.67236328125,0.3419032600365068,0.33806616,0.3736127007385653,trial_0
1.6215982079041869,0.3228400422224181,1766.1860961914062,0.3541141668193155,0.3228400647640228,0.3595871142924174,trial_1
1.5651322622496675,0.2929488979462475,1721.6624755859375,0.3015418676040133,0.2929489016532898,0.3406862463788257,trial_2
2.3090638904268355,0.1582715363305217,2540.70361328125,0.266618115528466,0.1582715362310409,0.3554213713528597,trial_3
1.9994484115018152,0.3039271725131766,2188.127685546875,0.3438833318810518,0.3039271831512451,0.3671220272656861,trial_4
1.8022845318109104,0.2998805533679594,1980.344787597656,0.341483162931028,0.2998805642127991,0.3729401111469997,trial_5
1.5856043939062985,0.214898238329377,1737.3978271484375,0.2599358647929862,0.2148982435464859,0.3604752285928538,trial_6
3.4295264986379133,0.2540196121402319,3805.102294921875,0.3342424387343932,0.2540196180343628,0.3594247784053425,trial_7
1.6026926739753633,0.2059960055942934,1758.9903564453125,0.257926123077831,0.2059960067272186,0.361619412317209,trial_8
2.00267497389529,0.2922462195730281,2203.2401123046875,0.3494363017532332,0.2922462224960327,0.3819019536187258,trial_9
1.606046107104596,0.3247805568101118,1750.8023071289062,0.3569772469744053,0.3247805535793304,0.3538743708856321,trial_10
2.058901205813596,0.2843487417489148,2262.075561523437,0.3316950118694095,0.284348726272583,0.3561631993273391,trial_11
1.7258109301715368,0.244837338574514,1880.1752319335933,0.2897283977162433,0.2448373287916183,0.3594550572410423,trial_12
2.8171243216442816,0.2844483528795936,3127.494201660156,0.34816871284606,0.2844483256340027,0.3677235699507411,trial_13
1.5921726278883364,0.3361721805537502,1740.0098876953125,0.3588441139274479,0.3361721634864807,0.3572885241262811,trial_14
1.5802102636636128,0.2903068594110072,1722.4585571289062,0.3098398524920273,0.2903068661689758,0.3671022279216411,trial_15
2.520705329582972,0.2608879115592826,2756.208374023437,0.3419632744474506,0.2608879208564758,0.3612864659843787,trial_16
1.47369668551537,0.3407200219361594,1610.651611328125,0.3550232713646527,0.340719997882843,0.3604631011112089,trial_17
2.0918356374447526,0.3121126740073046,2290.6475830078125,0.3371702680203005,0.3121126890182495,0.3632165386073073,trial_18
1.5882816103038904,0.3147857839542015,1728.2120361328125,0.3313697249271486,0.3147857785224914,0.3709356896159755,trial_19
2.1987914579008483,0.1519538553163043,2408.7081298828125,0.2651002054099693,0.1519538611173629,0.371773867219251,trial_20
1.440766108670243,0.3508562675438325,1579.1561889648438,0.3595117976979992,0.3508562445640564,0.3629495340334737,trial_21
1.3522631932294904,0.348684014114733,1480.9878540039062,0.344687530424009,0.348684012889862,0.3610808039879268,trial_22
1.9143150355344616,0.322939297242995,2080.34521484375,0.3679047439342704,0.3229393064975738,0.357272904026757,trial_23
1.5102827804079313,0.3526923567794893,1650.2869873046875,0.3718196875081385,0.3526923656463623,0.3599076928112847,trial_24
2.200144600600108,0.3004058359642572,2422.7470703125,0.351771696698168,0.3004058599472046,0.3713711426314664,trial_25
1.6269870939113482,0.2941290647886701,1770.9974975585938,0.3242382769652225,0.2941290736198425,0.358189142512338,trial_26
2.0123163443380987,0.3097040164311325,2214.97216796875,0.3453979093363903,0.3097040057182312,0.3572389279365463,trial_27
2.002747767053828,0.3163234694703479,2201.9503784179688,0.3512504213925733,0.3163234889507293,0.3763949976206554,trial_28
1.5961257218927867,0.3330800960062401,1737.9240112304688,0.3528430107971787,0.33308011293411255,0.3576119874289233,trial_29
